RQ,Device,Metric,p,Cliffs_delta,Median_Legacy,Median_New,Median_diff_Legacy_minus_New,Median_diff_CI95_low,Median_diff_CI95_high,n_Legacy,n_New,q_BH
RQ1,Moto G72 (120 Hz),Avg callback delay 50 ms,1.999980000199998e-05,1.0,62.875,35.825,27.049999999999997,23.119999999999997,29.605000000000004,10,10,2.6666400002666642e-05
RQ1,Moto G72 (120 Hz),Avg callback delay 100 ms,1.999980000199998e-05,1.0,31.345,22.275,9.07,8.854999999999997,9.639999999999997,10,10,2.6666400002666642e-05
RQ1,Moto G72 (120 Hz),Avg callback delay 200 ms,1.999980000199998e-05,1.0,35.75,22.810000000000002,12.939999999999998,12.649999999999995,13.459999999999997,10,10,2.6666400002666642e-05
RQ1,Moto G72 (120 Hz),Avg callback delay 1000 ms,3.999960000399996e-05,1.0,36.385,22.244999999999997,14.14,13.8,14.46,10,10,3.999960000399996e-05
RQ1,Pixel 4a (60 Hz),Avg callback delay 50 ms,1.999980000199998e-05,1.0,41.565,28.28,13.284999999999997,12.990000000000002,13.725000000000001,10,10,1.999980000199998e-05
RQ1,Pixel 4a (60 Hz),Avg callback delay 100 ms,1.999980000199998e-05,1.0,54.22,38.95,15.269999999999996,14.775000000000006,15.950000000000003,10,10,1.999980000199998e-05
RQ1,Pixel 4a (60 Hz),Avg callback delay 200 ms,1.999980000199998e-05,1.0,65.955,53.015,12.939999999999998,12.29,13.474999999999994,10,10,1.999980000199998e-05
RQ1,Pixel 4a (60 Hz),Avg callback delay 1000 ms,1.999980000199998e-05,1.0,114.18,58.785,55.39500000000001,52.17999999999999,62.34000000000001,10,10,1.999980000199998e-05
RQ2,Moto G72 (120 Hz),Effective_FPS,1.999980000199998e-05,-1.0,58.84558094176582,88.19583872066792,-29.350257778902105,-29.69061105776815,-28.749614550190493,10,10,5.999940000599994e-05
RQ2,Moto G72 (120 Hz),Janky_Frames_Percent,3.999960000399996e-05,1.0,5.55,1.75,3.8,3.0300000000000002,4.095,10,10,5.999940000599994e-05
RQ2,Moto G72 (120 Hz),Frame_P99_ms,0.06971930280697193,-0.5,29.0,30.0,-1.0,-1.0,0.0,10,10,0.06971930280697193
RQ2,Pixel 4a (60 Hz),Effective_FPS,3.999960000399996e-05,-1.0,55.97021231379235,60.22691630707678,-4.256703993284425,-4.413078642525591,-3.984417060957881,10,10,5.999940000599994e-05
RQ2,Pixel 4a (60 Hz),Janky_Frames_Percent,1.999980000199998e-05,1.0,4.915,0.525,4.39,4.09,4.59,10,10,5.999940000599994e-05
RQ2,Pixel 4a (60 Hz),Frame_P99_ms,0.0004199958000419996,-0.88,24.0,26.0,-2.0,-4.0,-1.0,10,10,0.00041999580004199966
RQ3,Moto G72 (120 Hz),JS-driven: Effective_FPS,7.999920000799993e-05,-1.0,53.99033781863625,90.25481324847448,-36.26447542983823,-37.05324950199531,-35.51358698228254,10,10,0.00015999840001599985
RQ3,Moto G72 (120 Hz),JS-driven: Janky_Frames_Percent,1.999980000199998e-05,1.0,0.265,0.06,0.20500000000000002,0.16499999999999998,0.28,10,10,0.00011999880001199988
RQ3,Moto G72 (120 Hz),JS-driven: Frame_P99_ms,0.03331966680333197,0.5,17.5,17.0,0.5,0.0,1.0,10,10,0.039983600163998365
RQ3,Pixel 4a (60 Hz),JS-driven: Effective_FPS,1.999980000199998e-05,-1.0,35.149383353147726,60.30247002211048,-25.15308666896275,-25.22088847086718,-25.093236018370177,10,10,5.999940000599994e-05
RQ3,Pixel 4a (60 Hz),JS-driven: Janky_Frames_Percent,1.999980000199998e-05,1.0,0.24,0.045,0.195,0.09500000000000001,0.30000000000000004,10,10,5.999940000599994e-05
RQ3,Pixel 4a (60 Hz),JS-driven: Frame_P99_ms,5.999940000599994e-05,-1.0,16.5,21.0,-4.5,-5.0,-4.0,10,10,8.999910000899992e-05
RQ3,Moto G72 (120 Hz),Native-driven: Effective_FPS,3.999960000399996e-05,-1.0,89.25879960080124,89.66809608752371,-0.409296486722468,-0.4640511345462812,-0.3540127106529525,10,10,0.00011999880001199988
RQ3,Moto G72 (120 Hz),Native-driven: Janky_Frames_Percent,0.15721842781572185,0.38,0.21,0.195,0.014999999999999986,-0.010000000000000009,0.08000000000000002,10,10,0.15721842781572185
RQ3,Moto G72 (120 Hz),Native-driven: Frame_P99_ms,0.024299757002429975,-0.58,11.0,13.0,-2.0,-3.0,0.5,10,10,0.03644963550364496
RQ3,Pixel 4a (60 Hz),Native-driven: Effective_FPS,5.999940000599994e-05,0.96,60.33212607925053,60.29163162564295,0.04049445360757886,0.02584779203170484,0.05836532276374129,10,10,8.999910000899992e-05
RQ3,Pixel 4a (60 Hz),Native-driven: Janky_Frames_Percent,0.6939530604693953,-0.17,0.03,0.03,0.0,-0.015,0.0,10,10,0.6939530604693953
RQ3,Pixel 4a (60 Hz),Native-driven: Frame_P99_ms,0.4733952660473395,-0.2,17.0,17.0,0.0,-1.5,0.0,10,10,0.5680743192568074
RQ4,Moto G72,Scalar,3.999960000399996e-05,1.0,6480.0,4827.5,1652.5,1514.0,1727.0,10,10,5.999940000599994e-05
RQ4,Pixel 4a,Scalar,3.999960000399996e-05,1.0,7463.0,417.0,7046.0,6911.487500000001,7097.0,10,10,5.999940000599994e-05
RQ4,Moto G72,Array payload 1,1.999980000199998e-05,1.0,6131.5,3746.0,2385.5,1760.0,3050.5,10,10,3.999960000399996e-05
RQ4,Moto G72,Array payload 10,0.19073809261907382,0.36,6004.5,5719.5,285.0,-377.5,781.0,10,10,0.22888571114288858
RQ4,Moto G72,Array payload 100,1.999980000199998e-05,-1.0,4443.5,5836.0,-1392.5,-1544.0,-1257.0,10,10,3.999960000399996e-05
RQ4,Moto G72,Array payload 1000,0.6161738382616174,-0.14,1192.0,1179.5,12.5,-141.0,86.5,10,10,0.6161738382616174
RQ4,Moto G72,Array payload 10000,1.999980000199998e-05,-1.0,163.0,177.0,-14.0,-17.0,-10.0,10,10,3.999960000399996e-05
RQ4,Pixel 4a,Array payload 1,1.999980000199998e-05,1.0,6833.5,2635.0,4198.5,3861.0,4311.5,10,10,5.999940000599994e-05
RQ4,Pixel 4a,Array payload 10,1.999980000199998e-05,1.0,6622.5,3895.5,2727.0,1977.5,3321.5,10,10,5.999940000599994e-05
RQ4,Pixel 4a,Array payload 100,0.0004599954000459995,-0.88,4170.5,5116.0,-945.5,-1296.5,-221.0,10,10,0.0005519944800551995
RQ4,Pixel 4a,Array payload 1000,0.1958580414195858,-0.35,1305.0,1358.5,-53.5,-122.0,27.5,10,10,0.19585804141958577
RQ4,Pixel 4a,Array payload 10000,3.999960000399996e-05,1.0,146.5,119.0,27.5,27.0,28.5,10,10,5.999940000599994e-05
