Device,Architecture,Interval_ms,Avg_Latency_ms_mean,Avg_Latency_ms_median,Avg_Latency_ms_sd,Avg_Latency_ms_n,P95_Latency_ms_mean,P95_Latency_ms_median,P95_Latency_ms_sd,P95_Latency_ms_n,P99_Latency_ms_mean,P99_Latency_ms_median,P99_Latency_ms_sd,P99_Latency_ms_n,CPU_Modal_percent_mean,CPU_Modal_percent_median,CPU_Modal_percent_sd,CPU_Modal_percent_n,RAM_Peak_MB_mean,RAM_Peak_MB_median,RAM_Peak_MB_sd,RAM_Peak_MB_n
Moto G72 (120 Hz),Native,50.0,5.215,5.205,0.2706473720544871,10,9.0,9.0,0.0,10,10.0,10.0,0.0,10,3.4,3.0,0.5163977794943223,10,134.72,134.7,0.7130529043797804,10
Moto G72 (120 Hz),Native,100.0,5.665,5.6899999999999995,0.3648820205064767,10,10.2,10.0,0.4216370213557839,10,12.3,12.0,1.4181364924121764,10,0.7,1.0,0.48304589153964794,10,128.68,128.7,0.16193277068654996,10
Moto G72 (120 Hz),Native,200.0,9.616,9.51,0.34849517771253136,10,17.2,17.0,0.4216370213557839,10,18.2,18.0,0.4216370213557839,10,0.0,0.0,0.0,10,135.25000000000003,135.25,0.3439961240091653,10
Moto G72 (120 Hz),Native,1000.0,10.439,10.7,1.492756212886455,10,17.5,17.5,0.5270462766947299,10,18.3,18.0,0.48304589153964794,10,0.0,0.0,0.0,10,135.28000000000003,135.14999999999998,0.44919681407794415,10
Moto G72 (120 Hz),RN_Legacy,50.0,62.685,62.875,4.239628521462699,10,113.516,117.795,8.17087265841293,10,124.075,124.13499999999999,0.3989221589344064,10,18.7,19.0,0.9486832980505137,10,165.92999999999998,166.1,0.8246884933786303,10
Moto G72 (120 Hz),RN_Legacy,100.0,31.508,31.345,0.43675062806035037,10,35.778,35.755,0.1162181856108012,10,36.35600000000001,36.315,0.14222048610051516,10,5.7,5.5,0.8232726023485646,10,165.96,166.05,0.9057838839615335,10
Moto G72 (120 Hz),RN_Legacy,200.0,35.836,35.75,0.3664605481267175,10,36.864999999999995,36.81,0.4275836500356129,10,37.625,37.67,0.6307711329969239,10,3.0,3.0,0.0,10,167.19,167.25,0.6226288353960721,10
Moto G72 (120 Hz),RN_Legacy,1000.0,36.406,36.385,0.29044792992892793,10,45.337,41.8,6.522796009210911,10,54.669000000000004,54.84,0.7076165000274588,10,1.0,1.0,0.0,10,146.07999999999998,146.5,2.102802362985592,10
Moto G72 (120 Hz),RN_NewArch,50.0,35.388,35.825,2.146122084132214,10,61.491,61.61,1.5205587423341749,10,65.86600000000001,66.0,0.9891769867476246,10,15.8,15.5,1.6193277068654826,10,178.08999999999997,177.45,3.426838517091548,10
Moto G72 (120 Hz),RN_NewArch,100.0,22.272,22.275,0.053082744633051945,10,25.762,25.78,0.1139005414093075,10,27.254,27.18,0.22096756926451108,10,5.2,5.0,0.4216370213557839,10,175.66000000000003,175.5,0.8408989898383188,10
