Device,Architecture,Payload_Size,Mean_ops_s,Median_ops_s,SD_ops_s,CV_pct,n
Moto G72,RN_Legacy,1,6129.2,6131.5,129.83305519867514,2.1182708216190553,10
Moto G72,RN_Legacy,10,5982.8,6004.5,86.26161757506443,1.4418268632590832,10
Moto G72,RN_Legacy,100,4443.2,4443.5,112.1227501942006,2.5234684505356637,10
Moto G72,RN_Legacy,1000,1148.4,1192.0,82.94469375567205,7.22263094354511,10
Moto G72,RN_Legacy,10000,163.2,163.0,3.552776691859794,2.17694650236507,10
Moto G72,RN_NewArch,1,3742.1,3746.0,617.3807487190452,16.498242930949072,10
Moto G72,RN_NewArch,10,5759.5,5719.5,823.8793398712378,14.304702489300073,10
Moto G72,RN_NewArch,100,5762.1,5836.0,307.2792613315198,5.332765160818448,10
Moto G72,RN_NewArch,1000,1185.2,1179.5,123.14111146702118,10.389901406262334,10
Moto G72,RN_NewArch,10000,176.6,177.0,0.5163977794943222,0.29241097366609414,10
Pixel 4a,RN_Legacy,1,6729.5,6833.5,297.5004201677705,4.420839886585489,10
Pixel 4a,RN_Legacy,10,6628.1,6622.5,59.405293441652894,0.8962642905455996,10
Pixel 4a,RN_Legacy,100,4124.7,4170.5,136.89578355652722,3.3189270384883076,10
Pixel 4a,RN_Legacy,1000,1313.6,1305.0,65.51200059700683,4.987210764083955,10
Pixel 4a,RN_Legacy,10000,146.0,146.5,2.581988897471611,1.7684855462134321,10
Pixel 4a,RN_NewArch,1,2649.3,2635.0,158.1097017193372,5.967980286088295,10
Pixel 4a,RN_NewArch,10,3906.8,3895.5,666.1485987041897,17.0510033455562,10
Pixel 4a,RN_NewArch,100,4986.9,5116.0,548.7724584115998,11.004280382835024,10
Pixel 4a,RN_NewArch,1000,1353.8,1358.5,81.53908401633062,6.022978580021467,10
Pixel 4a,RN_NewArch,10000,118.7,119.0,0.6749485577105528,0.5686171505564893,10
