App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;50;1;56,03;21,48;128,17;41,41;102,71;123,29;1200;1200;60037;18;23;163,7;1404;234;16,67;15;22;22;23;0;234;234
RN;Legacy;Real-time updates;50;2;70,72;21,29;128,34;82,98;121,48;124,3;1200;1200;59994;19;24;166,1;1359;338;24,87;18;22;22;23;0;338;336
RN;Legacy;Real-time updates;50;3;63,27;21,09;128,97;59,09;119,96;124,17;1200;1200;60012;17;22;166;1381;297;21,51;16;22;22;24;0;297;297
RN;Legacy;Real-time updates;50;4;63,95;22,07;129,35;62,02;119,92;124,44;1200;1200;60022;20;24;165,9;1401;311;22,2;16;22;22;23;0;311;311
RN;Legacy;Real-time updates;50;5;59,11;21,73;132,13;45,77;102,04;124,1;1200;1200;60079;19;23;166,5;1384;257;18,57;15;22;22;23;1;256;257
RN;Legacy;Real-time updates;50;6;62,48;21,36;129,08;58,74;116,92;124,01;1200;1200;60018;18;23;166,2;1388;289;20,82;16;22;22;23;0;289;288
RN;Legacy;Real-time updates;50;7;66,91;21,54;130,21;70,35;120,44;124,63;1200;1200;60041;19;24;166,4;1372;318;23,18;17;22;22;24;0;318;317
RN;Legacy;Real-time updates;50;8;58,76;21,22;127,86;44,93;103,18;123,57;1200;1200;60006;18;22;165,8;1396;263;18,84;15;22;22;23;0;263;263
RN;Legacy;Real-time updates;50;9;64,37;21,81;129,74;63,11;118,67;124,28;1200;1200;60027;20;24;166,6;1380;304;22,03;16;22;22;23;1;303;304
RN;Legacy;Real-time updates;50;10;61,25;21,47;128,92;52,68;109,84;123,96;1200;1200;60015;19;23;166,1;1391;276;19,84;15;22;22;23;0;276;275
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;Legacy;Real-time updates;100;1;32,22;24,48;36,78;34,93;35,83;36,45;599;600;60023;7;8;164,3;760;11;1,45;14;17;18;22;1;11;7
RN;Legacy;Real-time updates;100;2;31,79;24,59;36,72;35;35,77;36,29;599;600;60013;5;6;166,1;754;5;0,66;14;16;17;19;0;5;5
RN;Legacy;Real-time updates;100;3;31,16;24,54;37,39;32,41;35,73;36,32;599;600;60022;5;7;167,5;755;3;0,4;14;16;17;18;0;3;2
RN;Legacy;Real-time updates;100;4;31,05;24,64;36,92;30,1;35,84;36,31;599;600;60003;5;6;165,8;742;4;0,54;14;16;17;19;0;4;4
RN;Legacy;Real-time updates;100;5;31,15;24,69;36,97;31,01;35,6;36,23;599;600;60017;6;7;166;758;3;0,4;14;16;17;19;0;3;3
RN;Legacy;Real-time updates;100;6;31,42;24,57;36,88;32,76;35,71;36,28;599;600;60011;5;7;166,4;751;4;0,53;14;16;17;19;0;4;4
RN;Legacy;Real-time updates;100;7;31,88;24,51;37,12;34,21;35,92;36,54;599;600;60029;6;8;165,6;759;6;0,79;14;17;18;20;0;6;5
RN;Legacy;Real-time updates;100;8;31,09;24,62;36,69;30,84;35,66;36,17;599;600;60008;5;6;166,8;747;3;0,4;14;16;17;18;0;3;3
RN;Legacy;Real-time updates;100;9;32,05;24,44;37,31;34,69;35,98;36,63;599;600;60034;7;8;164,9;756;5;0,66;14;17;18;21;1;5;4
RN;Legacy;Real-time updates;100;10;31,27;24,66;36,95;31,58;35,74;36,34;599;600;60016;6;7;166,2;752;4;0,53;14;16;17;19;0;4;4
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;Legacy;Real-time updates;200;1;36,25;30,39;39,79;36,36;37,26;37,7;299;300;60015;3;5;166,7;427;10;2,34;16;18;18;24;1;10;3
RN;Legacy;Real-time updates;200;2;36,27;33,54;39,9;36,34;37,34;37,85;299;300;60018;3;4;168,1;428;13;3,04;17;18;19;22;2;13;3
RN;Legacy;Real-time updates;200;3;35,5;32,22;40,81;35,62;36,37;37,15;299;300;60014;3;5;167,3;379;8;2,11;16;18;18;20;0;8;0
RN;Legacy;Real-time updates;200;4;35,48;29,39;38,05;35,6;36,54;36,94;299;300;60022;3;4;166,2;378;4;1,06;16;17;18;19;0;3;0
RN;Legacy;Real-time updates;200;5;35,58;33,39;41,11;35,62;36,53;38,62;299;300;60024;3;5;167,4;381;6;1,57;16;18;18;20;0;6;0
RN;Legacy;Real-time updates;200;6;35,92;31,84;40,22;36,04;37,08;37,64;299;300;60019;3;5;166,9;425;9;2,12;16;18;18;22;1;9;2
RN;Legacy;Real-time updates;200;7;35,54;30,76;38,61;35,68;36,49;36,98;299;300;60012;3;4;167,6;382;7;1,83;16;18;18;20;0;7;0
RN;Legacy;Real-time updates;200;8;36,31;33,18;40,67;36,42;37,41;38,06;299;300;60027;3;5;168;429;11;2,56;17;18;19;23;2;11;3
RN;Legacy;Real-time updates;200;9;35,43;29,88;38,24;35,55;36,42;36,87;299;300;60016;3;4;166,5;380;5;1,32;16;17;18;19;0;5;0
RN;Legacy;Real-time updates;200;10;36,08;32,65;41,03;36,18;37,21;38,44;299;300;60021;3;5;167,2;426;12;2,82;16;18;19;24;1;12;2
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;Legacy;Real-time updates;1000;1;36,55;32,55;55,29;35,59;54,13;55,29;59;60;60014;1;5;141,1;102;16;15,69;15;21;22;23;0;15;0
