App;Architecture;Scenario;Animated_Boxes;Run;Status;FPS modal;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Janky_Frames_Count (legacy);Janky_Frames_Percent (legacy);Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count;Frozen_Frames_Count
RN;Legacy;Animations;15;1;Finished;54;60021;17;18;163,1;3236;11;0,34;1385;42,8;10;14;15;18;0;9;5;0
RN;Legacy;Animations;15;2;Finished;56;60019;16;18;160,1;3304;7;0,21;1315;39,8;10;13;14;17;0;4;4;0
RN;Legacy;Animations;15;3;Finished;55;60012;17;18;161,7;3281;8;0,24;1336;40,72;10;13;14;17;0;6;6;0
RN;Legacy;Animations;15;4;Finished;52;60020;18;19;163,6;3220;8;0,25;1514;47,02;10;14;15;17;0;4;6;0
RN;Legacy;Animations;15;5;Finished;52;60017;18;19;164;3152;11;0,35;1625;51,55;10;15;16;18;0;10;6;0
RN;Legacy;Animations;15;6;Finished;55;60018;17;18;162,4;3268;9;0,28;1372;41,98;10;14;15;17;0;7;5;0
RN;Legacy;Animations;15;7;Finished;53;60022;18;19;163,8;3194;10;0,31;1558;48,78;10;14;15;18;0;8;6;0
RN;Legacy;Animations;15;8;Finished;56;60014;16;18;161,2;3311;7;0,21;1328;40,11;10;13;14;17;0;5;4;0
RN;Legacy;Animations;15;9;Finished;54;60019;17;18;162,9;3245;11;0,34;1436;44,25;10;14;15;18;0;9;5;0
RN;Legacy;Animations;15;10;Finished;52;60016;18;19;164,1;3167;8;0,25;1597;50,43;10;15;16;18;0;6;6;0
;;;;;;;;;;;;;;;;;;;;;;;
RN;NewArch;Animations;15;1;Finished;35;60017;24;27;159,1;5420;6;0,11;2383;43,97;9;15;15;17;0;5;2;0
RN;NewArch;Animations;15;2;Finished;34;60033;25;27;176;5418;3;0,06;3633;67,05;12;15;15;17;0;3;0;0
RN;NewArch;Animations;15;3;Finished;34;60032;26;28;167,1;5413;4;0,07;3626;66,99;12;14;15;17;0;3;1;0
RN;NewArch;Animations;15;4;Finished;35;60016;25;27;170,3;5417;2;0,04;3372;62,25;12;14;15;17;0;1;1;0
RN;NewArch;Animations;15;5;Finished;36;60014;26;28;171,1;5417;1;0,02;3748;69,19;12;14;15;17;0;1;0;0
RN;NewArch;Animations;15;6;Finished;35;60021;25;27;168,4;5416;3;0,06;3489;64,42;12;14;15;17;0;2;1;0
RN;NewArch;Animations;15;7;Finished;34;60029;26;28;172,6;5411;4;0,07;3664;67,72;12;15;15;17;0;3;1;0
RN;NewArch;Animations;15;8;Finished;36;60015;25;27;169,8;5419;2;0,04;3317;61,21;12;14;15;17;0;1;0;0
RN;NewArch;Animations;15;9;Finished;35;60018;24;27;161,5;5421;5;0,09;2528;46,63;10;15;15;17;0;4;2;0
RN;NewArch;Animations;15;10;Finished;34;60031;26;28;174,9;5415;3;0,06;3712;68,55;12;15;15;17;0;3;0;0
;;;;;;;;;;;;;;;;;;;;;;;
Native;Native;Animations;15;1;Finished;90;60002;6;7;131,5;5418;0;0;0;0;5;6;7;7;0;0;0;0
Native;Native;Animations;15;2;Finished;90;60002;6;7;130,2;5423;0;0;0;0;5;6;7;7;0;0;0;0
Native;Native;Animations;15;3;Finished;90;60004;6;7;130,4;5422;0;0;1;0,02;5;6;7;8;0;0;0;0
Native;Native;Animations;15;4;Finished;90;60003;6;7;131,1;5419;0;0;2;0,04;5;6;7;7;0;0;0;0
Native;Native;Animations;15;5;Finished;90;60001;6;7;130,8;5424;1;0,02;1;0,02;5;6;7;8;0;0;1;1
Native;Native;Animations;15;6;Finished;90;60002;6;7;130,6;5421;0;0;1;0,02;5;6;7;7;0;0;0;0
Native;Native;Animations;15;7;Finished;90;60003;6;7;131,3;5419;1;0,02;2;0,04;5;6;7;8;0;0;1;0
Native;Native;Animations;15;8;Finished;90;60001;6;7;130,1;5425;0;0;0;0;5;6;7;7;0;0;0;0
Native;Native;Animations;15;9;Finished;90;60004;6;7;130,9;5420;0;0;1;0,02;5;6;7;8;0;0;0;0
Native;Native;Animations;15;10;Finished;90;60002;6;7;131;5423;1;0,02;1;0,02;5;6;7;8;0;0;1;1
