Technology;Test;Payload_Size;Run;Operations_Count;Total_Duration_ms;Operations_per_second
RN_Legacy;Complex;1;1;10000;1637;6109
RN_Legacy;Complex;1;2;10000;1686;5931
RN_Legacy;Complex;1;3;10000;1676;5967
RN_Legacy;Complex;1;4;10000;1660;6024
RN_Legacy;Complex;1;5;10000;1649;6064
RN_Legacy;Complex;1;6;10000;1625;6154
RN_Legacy;Complex;1;7;10000;1601;6246
RN_Legacy;Complex;1;8;10000;1596;6266
RN_Legacy;Complex;1;9;10000;1599;6254
RN_Legacy;Complex;1;10;10000;1593;6277
RN_Legacy;Complex;10;1;10000;1669;5992
RN_Legacy;Complex;10;2;10000;1688;5924
RN_Legacy;Complex;10;3;10000;1705;5865
RN_Legacy;Complex;10;4;10000;1718;5821
RN_Legacy;Complex;10;5;10000;1651;6057
RN_Legacy;Complex;10;6;10000;1653;6050
RN_Legacy;Complex;10;7;10000;1643;6086
RN_Legacy;Complex;10;8;10000;1660;6024
RN_Legacy;Complex;10;9;10000;1667;5999
RN_Legacy;Complex;10;10;10000;1664;6010
RN_Legacy;Complex;100;1;10000;2253;4439
RN_Legacy;Complex;100;2;10000;2253;4439
RN_Legacy;Complex;100;3;10000;2326;4299
RN_Legacy;Complex;100;4;10000;2326;4299
RN_Legacy;Complex;100;5;10000;2318;4314
RN_Legacy;Complex;100;6;10000;2207;4531
RN_Legacy;Complex;100;7;10000;2235;4474
RN_Legacy;Complex;100;8;10000;2248;4448
RN_Legacy;Complex;100;9;10000;2170;4608
RN_Legacy;Complex;100;10;10000;2183;4581
RN_Legacy;Complex;1000;1;10000;8347;1198
RN_Legacy;Complex;1000;2;10000;10078;992
RN_Legacy;Complex;1000;3;10000;8564;1168
RN_Legacy;Complex;1000;4;10000;8432;1186
RN_Legacy;Complex;1000;5;10000;9130;1095
RN_Legacy;Complex;1000;6;10000;8348;1198
RN_Legacy;Complex;1000;7;10000;8268;1209
RN_Legacy;Complex;1000;8;10000;8256;1211
RN_Legacy;Complex;1000;9;10000;9813;1019
RN_Legacy;Complex;1000;10;10000;8275;1208
RN_Legacy;Complex;10000;1;10000;62531;160
RN_Legacy;Complex;10000;2;10000;60815;164
RN_Legacy;Complex;10000;3;10000;59239;169
RN_Legacy;Complex;10000;4;10000;61250;163
RN_Legacy;Complex;10000;5;10000;59720;167
RN_Legacy;Complex;10000;6;10000;59992;167
RN_Legacy;Complex;10000;7;10000;61525;163
RN_Legacy;Complex;10000;8;10000;62810;159
RN_Legacy;Complex;10000;9;10000;62853;159
RN_Legacy;Complex;10000;10;10000;62154;161
RN_NewArch;Complex;1;1;10000;2231;4482
RN_NewArch;Complex;1;2;10000;3209;3116
RN_NewArch;Complex;1;3;10000;2310;4329
RN_NewArch;Complex;1;4;10000;2501;3998
RN_NewArch;Complex;1;5;10000;2383;4196
RN_NewArch;Complex;1;6;10000;3332;3001
RN_NewArch;Complex;1;7;10000;2239;4466
RN_NewArch;Complex;1;8;10000;2862;3494
RN_NewArch;Complex;1;9;10000;3374;2964
RN_NewArch;Complex;1;10;10000;2963;3375
RN_NewArch;Complex;10;1;10000;1649;6064
RN_NewArch;Complex;10;2;10000;1387;7210
RN_NewArch;Complex;10;3;10000;1740;5747
RN_NewArch;Complex;10;4;10000;1459;6854
RN_NewArch;Complex;10;5;10000;2262;4421
RN_NewArch;Complex;10;6;10000;1964;5092
RN_NewArch;Complex;10;7;10000;1898;5269
RN_NewArch;Complex;10;8;10000;1685;5935
RN_NewArch;Complex;10;9;10000;1757;5692
RN_NewArch;Complex;10;10;10000;1883;5311
RN_NewArch;Complex;100;1;10000;1723;5804
RN_NewArch;Complex;100;2;10000;1707;5858
RN_NewArch;Complex;100;3;10000;1753;5705
RN_NewArch;Complex;100;4;10000;2027;4933
RN_NewArch;Complex;100;5;10000;1720;5814
RN_NewArch;Complex;100;6;10000;1663;6013
RN_NewArch;Complex;100;7;10000;1692;5910
RN_NewArch;Complex;100;8;10000;1749;5718
RN_NewArch;Complex;100;9;10000;1689;5921
RN_NewArch;Complex;100;10;10000;1682;5945
RN_NewArch;Complex;1000;1;10000;9005;1110
RN_NewArch;Complex;1000;2;10000;10538;949
RN_NewArch;Complex;1000;3;10000;7541;1326
RN_NewArch;Complex;1000;4;10000;7446;1343
RN_NewArch;Complex;1000;5;10000;8236;1214
RN_NewArch;Complex;1000;6;10000;8705;1149
RN_NewArch;Complex;1000;7;10000;8404;1190
RN_NewArch;Complex;1000;8;10000;9226;1084
RN_NewArch;Complex;1000;9;10000;8556;1169
RN_NewArch;Complex;1000;10;10000;7585;1318
RN_NewArch;Complex;10000;1;10000;56524;177
RN_NewArch;Complex;10000;2;10000;56730;176
RN_NewArch;Complex;10000;3;10000;56573;177
RN_NewArch;Complex;10000;4;10000;56617;177
RN_NewArch;Complex;10000;5;10000;56724;176
RN_NewArch;Complex;10000;6;10000;56640;177
RN_NewArch;Complex;10000;7;10000;56757;176
RN_NewArch;Complex;10000;8;10000;56731;176
RN_NewArch;Complex;10000;9;10000;56611;177
RN_NewArch;Complex;10000;10;10000;56538;177
