App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;50;1;41,4;24,1;80,51;48,57;51,64;59,38;1199;1200;60020;10;12;125,4;1427;2;0,14;12;14;15;21;0;2;0
RN;Legacy;Real-time updates;50;2;42,31;27,5;83,32;48,74;52,8;59,14;1199;1200;60025;11;13;133;1428;4;0,28;13;15;16;18;0;2;0
RN;Legacy;Real-time updates;50;3;41,24;28,43;76,68;36,24;51,77;59,28;1198;1200;60016;11;13;121,1;1427;1;0,07;13;15;15;19;0;1;0
RN;Legacy;Real-time updates;50;4;41,28;26,8;64,75;45,87;51,48;58,46;1199;1200;60016;11;12;120,4;1427;1;0,07;12;14;14;16;0;1;0
RN;Legacy;Real-time updates;50;5;41,97;25,12;79,26;48,82;52,13;59,26;1199;1200;60011;11;12;129;1465;3;0,2;13;15;16;23;0;3;0
RN;Legacy;Real-time updates;50;6;41,62;25,44;78,92;47,96;51,91;59,04;1199;1200;60018;10;12;126,8;1428;2;0,14;12;15;15;20;0;2;0
RN;Legacy;Real-time updates;50;7;42,08;26,73;82,15;48,63;52,44;59,31;1199;1200;60023;11;13;131,6;1452;3;0,21;13;15;16;22;0;3;0
RN;Legacy;Real-time updates;50;8;41,19;24,86;72,34;37,12;51,36;58,77;1198;1200;60014;10;12;122,7;1426;1;0,07;12;14;15;18;0;1;0
RN;Legacy;Real-time updates;50;9;41,73;27,18;80,04;48,21;52,02;59,46;1199;1200;60021;11;13;128,3;1430;4;0,28;13;15;16;21;0;4;0
RN;Legacy;Real-time updates;50;10;41,51;25,97;77,61;46,88;51,69;58,93;1199;1200;60017;10;12;124,9;1461;2;0,14;12;15;15;19;0;2;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
