App;Architecture;Scenario;List_Size;Run;Status;Scroll_Cycles;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Janky_Frames_Count ( legacy );Janky_Frames_Percent ( legacy );Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count;Frozen_Frames_Count
RN;Legacy;Large list scroll;1000;1;Finished;11;60013;15;16;169,8;3348;178;5,32;304;9,08;16;20;22;26;0;178;0;0
RN;Legacy;Large list scroll;1000;2;Finished;11;60019;14;15;167,4;3399;143;4,21;256;7,53;16;19;21;23;0;143;0;0
RN;Legacy;Large list scroll;1000;3;Finished;11;60025;14;15;165,4;3358;166;4,94;274;8,16;15;20;21;24;0;166;0;0
RN;Legacy;Large list scroll;1000;4;Finished;11;60032;14;16;165,8;3347;167;4,99;246;7,35;13;19;21;23;0;167;0;0
RN;Legacy;Large list scroll;1000;5;Finished;11;60008;13;15;164,3;3356;164;4,89;249;7,42;13;19;21;23;0;164;0;0
RN;Legacy;Large list scroll;1000;6;Finished;11;60017;14;16;166,9;3367;158;4,69;263;7,81;15;19;21;24;0;158;0;0
RN;Legacy;Large list scroll;1000;7;Finished;11;60024;15;16;168,1;3382;171;5,06;286;8,46;16;20;22;25;0;171;0;0
RN;Legacy;Large list scroll;1000;8;Finished;11;60011;14;15;165,7;3351;149;4,45;251;7,49;14;19;21;23;0;149;0;0
RN;Legacy;Large list scroll;1000;9;Finished;11;60029;13;15;164,9;3374;162;4,8;267;7,91;13;19;21;24;0;162;0;0
RN;Legacy;Large list scroll;1000;10;Finished;11;60021;14;16;167,2;3361;176;5,24;292;8,69;16;20;22;26;0;176;0;0
;;;;;;;;;;;;;;;;;;;;;;;
RN;NewArch;Large list scroll;1000;1;Finished;11;60026;13;14;210,3;3613;23;0,64;396;10,96;17;21;23;27;0;22;1;0
RN;NewArch;Large list scroll;1000;2;Finished;11;60007;13;14;216,4;3621;13;0,36;302;8,34;17;20;22;26;0;12;1;0
RN;NewArch;Large list scroll;1000;3;Finished;11;60018;13;15;222,8;3611;20;0,55;306;8,47;17;20;22;27;0;19;1;0
RN;NewArch;Large list scroll;1000;4;Finished;11;60010;13;15;220,3;3618;16;0,44;327;9,04;17;20;22;26;0;15;1;0
RN;NewArch;Large list scroll;1000;5;Finished;11;60027;13;15;221,6;3604;29;0,8;303;8,41;17;20;22;26;0;28;1;0
RN;NewArch;Large list scroll;1000;6;Finished;11;60015;13;15;218,7;3616;18;0,5;318;8,79;17;20;22;26;0;17;1;0
RN;NewArch;Large list scroll;1000;7;Finished;11;60022;13;14;214,9;3620;15;0,41;311;8,59;17;20;22;26;0;14;1;0
RN;NewArch;Large list scroll;1000;8;Finished;11;60009;13;15;221,2;3609;24;0,67;335;9,28;17;21;23;27;0;23;1;0
RN;NewArch;Large list scroll;1000;9;Finished;11;60031;13;15;219,6;3614;21;0,58;309;8,55;17;20;22;27;0;20;1;0
RN;NewArch;Large list scroll;1000;10;Finished;11;60016;13;14;216,8;3619;17;0,47;324;8,95;17;20;22;26;0;16;1;0
;;;;;;;;;;;;;;;;;;;;;;;
Native;Native;Large list scroll;1000;1;Finished;11;60006;4;5;82,2;3601;11;0,31;11;0,31;7;8;8;9;0;11;0;0
Native;Native;Large list scroll;1000;2;Finished;11;60001;5;6;80,7;3600;10;0,28;10;0,28;7;8;8;9;0;10;0;0
Native;Native;Large list scroll;1000;3;Finished;11;60016;5;5;81,2;3602;10;0,28;10;0,28;7;8;8;9;0;10;0;0
Native;Native;Large list scroll;1000;4;Finished;11;60016;4;5;77,9;3605;8;0,22;9;0,25;7;9;15;15;0;8;0;0
Native;Native;Large list scroll;1000;5;Finished;11;60016;5;5;76,6;3603;10;0,28;10;0,28;7;9;15;15;0;10;0;0
Native;Native;Large list scroll;1000;6;Finished;11;60008;4;5;79,4;3602;9;0,25;9;0,25;7;8;8;9;0;9;0;0
Native;Native;Large list scroll;1000;7;Finished;11;60012;5;6;81,5;3604;10;0,28;10;0,28;7;8;8;9;0;10;0;0
Native;Native;Large list scroll;1000;8;Finished;11;60003;4;5;78,1;3601;8;0,22;8;0,22;7;9;15;15;0;8;0;0
Native;Native;Large list scroll;1000;9;Finished;11;60015;5;5;77,4;3605;9;0,25;10;0,28;7;9;15;15;0;9;0;0
Native;Native;Large list scroll;1000;10;Finished;11;60009;4;5;80,2;3600;11;0,31;11;0,31;7;8;8;9;0;11;0;0
