App;Architecture;Scenario;Animated_Boxes;Run;Status;FPS modal;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Janky_Frames_Count (legacy);Janky_Frames_Percent (legacy);Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count;Frozen_Frames_Count
RN;Legacy;Animations;15;1;Finished;43;60025;13;15;156,3;2113;10;0,47;10;0,47;13;15;15;17;0;10;0;0
RN;Legacy;Animations;15;2;Finished;44;60031;14;17;158,9;2106;3;0,14;3;0,14;13;15;15;17;0;3;0;0
RN;Legacy;Animations;15;3;Finished;45;60029;12;14;151,9;2098;5;0,24;6;0,29;13;15;15;16;0;5;0;0
RN;Legacy;Animations;15;4;Finished;42;60053;12;13;148,9;2114;3;0,14;3;0,14;13;15;15;16;0;3;0;0
RN;Legacy;Animations;15;5;Finished;45;60014;13;17;147,8;2112;8;0,38;8;0,38;13;15;15;17;0;8;0;0
RN;Legacy;Animations;15;6;Finished;44;60022;13;16;154,7;2109;6;0,28;7;0,33;13;15;15;17;0;6;0;0
RN;Legacy;Animations;15;7;Finished;43;60037;14;16;157,2;2111;4;0,19;4;0,19;13;15;15;16;0;4;0;0
RN;Legacy;Animations;15;8;Finished;45;60018;12;14;150,6;2105;7;0,33;8;0,38;13;15;15;17;0;7;0;0
RN;Legacy;Animations;15;9;Finished;44;60046;13;15;152,8;2116;5;0,24;5;0,24;13;15;15;16;0;5;0;0
RN;Legacy;Animations;15;10;Finished;42;60028;12;14;149,4;2108;3;0,14;3;0,14;13;15;15;16;0;3;0;0
;;;;;;;;;;;;;;;;;;;;;;;
RN;NewArch;Animations;15;1;Finished;37;60028;17;22;169,1;3620;1;0,03;6;0,17;10;17;17;21;0;1;0;0
RN;NewArch;Animations;15;2;Finished;37;60028;17;24;168,4;3619;1;0,03;9;0,25;16;17;20;22;0;1;0;0
RN;NewArch;Animations;15;3;Finished;34;60038;17;25;161,9;3621;2;0,06;11;0,3;16;17;18;21;0;2;0;0
RN;NewArch;Animations;15;4;Finished;31;60047;17;25;160,6;3621;1;0,03;11;0,3;16;17;17;21;0;1;0;0
RN;NewArch;Animations;15;5;Finished;36;60035;17;24;162,7;3619;3;0,08;9;0,25;16;17;18;21;0;2;1;0
RN;NewArch;Animations;15;6;Finished;36;60031;17;24;164,8;3620;2;0,06;9;0,25;16;17;18;21;0;2;0;0
RN;NewArch;Animations;15;7;Finished;35;60042;17;25;163,1;3621;1;0,03;10;0,28;16;17;17;21;0;1;0;0
RN;NewArch;Animations;15;8;Finished;37;60029;17;23;167,2;3618;2;0,06;8;0,22;15;17;18;21;0;2;0;0
RN;NewArch;Animations;15;9;Finished;34;60044;17;25;161,4;3622;3;0,08;11;0,3;16;17;18;22;0;2;1;0
RN;NewArch;Animations;15;10;Finished;36;60033;17;24;165,6;3619;1;0,03;9;0,25;16;17;18;21;0;1;0;0
;;;;;;;;;;;;;;;;;;;;;;;
Native;Native;Animations;15;1;Finished;60;60004;2;3;74,2;3612;0;0;1;0,03;6;7;8;8;0;0;0;0
Native;Native;Animations;15;2;Finished;60;60003;2;3;74;3613;0;0;0;0;15;16;16;17;0;0;0;0
Native;Native;Animations;15;3;Finished;60;60003;3;3;74,6;3613;0;0;0;0;6;7;7;8;0;0;0;0
Native;Native;Animations;15;4;Finished;60;60001;3;3;76,8;3612;0;0;0;0;6;7;8;8;0;0;0;0
Native;Native;Animations;15;5;Finished;60;60002;3;3;75,9;3611;0;0;0;0;6;7;8;8;0;0;0;0
Native;Native;Animations;15;6;Finished;60;60004;2;3;74,8;3612;0;0;0;0;6;7;8;8;0;0;0;0
Native;Native;Animations;15;7;Finished;60;60002;3;3;75,4;3613;0;0;0;0;6;7;7;8;0;0;0;0
Native;Native;Animations;15;8;Finished;60;60005;3;3;76,1;3611;0;0;0;0;6;7;8;8;0;0;0;0
Native;Native;Animations;15;9;Finished;60;60003;2;3;73,9;3614;0;0;0;0;15;16;16;17;0;0;0;0
Native;Native;Animations;15;10;Finished;60;60001;3;3;75,7;3612;0;0;0;0;6;7;8;8;0;0;0;0
