App;Architecture;Scenario;Animated_Boxes;Run;Status;FPS modal;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Janky_Frames_Count (legacy);Janky_Frames_Percent (legacy);Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count;Frozen_Frames_Count
RN;Legacy;Animations;15;1;Finished;57;60064;7;9;107,9;3622;2;0,06;3;0,08;16;17;17;17;0;1;1;0
RN;Legacy;Animations;15;2;Finished;58;60057;7;8;113,7;3624;1;0,03;2;0,06;17;17;17;17;0;1;0;0
RN;Legacy;Animations;15;3;Finished;56;60049;7;11;116,8;3624;1;0,03;2;0,06;9;16;17;17;0;1;0;0
RN;Legacy;Animations;15;4;Finished;57;60100;5;7;114,6;3625;0;0;0;0;9;10;10;14;0;0;0;0
RN;Legacy;Animations;15;5;Finished;54;60037;6;8;118,7;3622;1;0,03;3;0,08;17;17;17;17;0;1;0;0
RN;Legacy;Animations;15;6;Finished;57;60052;6;8;115,2;3623;1;0,03;2;0,06;16;17;17;17;0;1;0;0
RN;Legacy;Animations;15;7;Finished;58;60061;7;9;112,4;3624;1;0,03;2;0,06;17;17;17;17;0;1;0;0
RN;Legacy;Animations;15;8;Finished;56;60044;6;8;117,1;3622;0;0;1;0,03;9;16;17;17;0;0;0;0
RN;Legacy;Animations;15;9;Finished;57;60083;5;7;114,9;3625;1;0,03;1;0,03;9;10;10;14;0;1;0;0
RN;Legacy;Animations;15;10;Finished;55;60039;6;8;118,2;3623;1;0,03;3;0,08;17;17;17;17;0;1;0;0
;;;;;;;;;;;;;;;;;;;;;;;
RN;NewArch;Animations;15;1;Finished;58;60039;5;6;122,4;3619;2;0,06;8;0,22;16;17;17;17;0;1;0;0
RN;NewArch;Animations;15;2;Finished;59;60046;5;7;129,2;3620;1;0,03;1;0,03;16;17;17;17;0;0;1;0
RN;NewArch;Animations;15;3;Finished;58;60039;4;6;134,6;3621;1;0,03;3;0,08;16;17;17;17;0;1;0;0
RN;NewArch;Animations;15;4;Finished;57;60045;4;6;135,1;3619;1;0,03;2;0,06;15;17;17;17;0;1;0;0
RN;NewArch;Animations;15;5;Finished;57;60040;5;7;136,9;3620;1;0,03;0;0;9;16;17;17;0;0;0;0
RN;NewArch;Animations;15;6;Finished;58;60042;5;7;131,3;3620;1;0,03;3;0,08;16;17;17;17;0;1;0;0
RN;NewArch;Animations;15;7;Finished;59;60037;5;6;127,8;3621;2;0,06;5;0,14;16;17;17;17;0;1;1;0
RN;NewArch;Animations;15;8;Finished;57;60044;4;6;135,7;3619;1;0,03;2;0,06;15;17;17;17;0;1;0;0
RN;NewArch;Animations;15;9;Finished;58;60041;5;7;133,2;3620;0;0;1;0,03;9;16;17;17;0;0;0;0
RN;NewArch;Animations;15;10;Finished;57;60048;4;6;136,1;3621;1;0,03;3;0,08;16;17;17;17;0;1;0;0
