"Technology";"Test";"Payload_Size";"Run";"Operations_Count";"Total_Duration_ms";"Operations_per_second"
"RN_Legacy";"Complex";"1";"1";"10000";"1627";"6146"
"RN_Legacy";"Complex";"1";"2";"10000";"1577";"6341"
"RN_Legacy";"Complex";"1";"3";"10000";"1528";"6545"
"RN_Legacy";"Complex";"1";"4";"10000";"1487";"6725"
"RN_Legacy";"Complex";"1";"5";"10000";"1445";"6920"
"RN_Legacy";"Complex";"1";"6";"10000";"1475";"6780"
"RN_Legacy";"Complex";"1";"7";"10000";"1452";"6887"
"RN_Legacy";"Complex";"1";"8";"10000";"1438";"6954"
"RN_Legacy";"Complex";"1";"9";"10000";"1413";"7077"
"RN_Legacy";"Complex";"1";"10";"10000";"1445";"6920"
"RN_Legacy";"Complex";"10";"1";"10000";"1518";"6588"
"RN_Legacy";"Complex";"10";"2";"10000";"1532";"6527"
"RN_Legacy";"Complex";"10";"3";"10000";"1519";"6583"
"RN_Legacy";"Complex";"10";"4";"10000";"1513";"6609"
"RN_Legacy";"Complex";"10";"5";"10000";"1491";"6707"
"RN_Legacy";"Complex";"10";"6";"10000";"1488";"6720"
"RN_Legacy";"Complex";"10";"7";"10000";"1516";"6596"
"RN_Legacy";"Complex";"10";"8";"10000";"1503";"6653"
"RN_Legacy";"Complex";"10";"9";"10000";"1507";"6636"
"RN_Legacy";"Complex";"10";"10";"10000";"1501";"6662"
"RN_Legacy";"Complex";"100";"1";"10000";"2380";"4202"
"RN_Legacy";"Complex";"100";"2";"10000";"2364";"4230"
"RN_Legacy";"Complex";"100";"3";"10000";"2594";"3855"
"RN_Legacy";"Complex";"100";"4";"10000";"2527";"3957"
"RN_Legacy";"Complex";"100";"5";"10000";"2414";"4143"
"RN_Legacy";"Complex";"100";"6";"10000";"2451";"4080"
"RN_Legacy";"Complex";"100";"7";"10000";"2464";"4058"
"RN_Legacy";"Complex";"100";"8";"10000";"2335";"4283"
"RN_Legacy";"Complex";"100";"9";"10000";"2382";"4198"
"RN_Legacy";"Complex";"100";"10";"10000";"2358";"4241"
"RN_Legacy";"Complex";"1000";"1";"10000";"7869";"1271"
"RN_Legacy";"Complex";"1000";"2";"10000";"6968";"1435"
"RN_Legacy";"Complex";"1000";"3";"10000";"7654";"1307"
"RN_Legacy";"Complex";"1000";"4";"10000";"7629";"1311"
"RN_Legacy";"Complex";"1000";"5";"10000";"7716";"1296"
"RN_Legacy";"Complex";"1000";"6";"10000";"8087";"1237"
"RN_Legacy";"Complex";"1000";"7";"10000";"7070";"1414"
"RN_Legacy";"Complex";"1000";"8";"10000";"7559";"1323"
"RN_Legacy";"Complex";"1000";"9";"10000";"7674";"1303"
"RN_Legacy";"Complex";"1000";"10";"10000";"8073";"1239"
"RN_Legacy";"Complex";"10000";"1";"10000";"68467";"146"
"RN_Legacy";"Complex";"10000";"2";"10000";"68154";"147"
"RN_Legacy";"Complex";"10000";"3";"10000";"67927";"147"
"RN_Legacy";"Complex";"10000";"4";"10000";"68327";"146"
"RN_Legacy";"Complex";"10000";"5";"10000";"67827";"147"
"RN_Legacy";"Complex";"10000";"6";"10000";"68483";"146"
"RN_Legacy";"Complex";"10000";"7";"10000";"68671";"146"
"RN_Legacy";"Complex";"10000";"8";"10000";"67553";"148"
"RN_Legacy";"Complex";"10000";"9";"10000";"72009";"139"
"RN_Legacy";"Complex";"10000";"10";"10000";"67380";"148"
"RN_NewArch";"Complex";"1";"1";"10000";"3785";"2642"
"RN_NewArch";"Complex";"1";"2";"10000";"3805";"2603"
"RN_NewArch";"Complex";"1";"3";"10000";"3840";"2604"
"RN_NewArch";"Complex";"1";"4";"10000";"3827";"2613"
"RN_NewArch";"Complex";"1";"5";"10000";"4335";"2307"
"RN_NewArch";"Complex";"1";"6";"10000";"3588";"2787"
"RN_NewArch";"Complex";"1";"7";"10000";"3742";"2672"
"RN_NewArch";"Complex";"1";"8";"10000";"3419";"2925"
"RN_NewArch";"Complex";"1";"9";"10000";"3674";"2722"
"RN_NewArch";"Complex";"1";"10";"10000";"3857";"2593"
"RN_NewArch";"Complex";"10";"1";"10000";"2046";"4888"
"RN_NewArch";"Complex";"10";"2";"10000";"2953";"3864"
"RN_NewArch";"Complex";"10";"3";"10000";"2593";"3857"
"RN_NewArch";"Complex";"10";"4";"10000";"2101";"4760"
"RN_NewArch";"Complex";"10";"5";"10000";"2162";"4625"
"RN_NewArch";"Complex";"10";"6";"10000";"2502";"3997"
"RN_NewArch";"Complex";"10";"7";"10000";"3143";"3182"
"RN_NewArch";"Complex";"10";"8";"10000";"2984";"3351"
"RN_NewArch";"Complex";"10";"9";"10000";"3238";"3088"
"RN_NewArch";"Complex";"10";"10";"10000";"2542";"3934"
"RN_NewArch";"Complex";"100";"1";"10000";"1865";"5362"
"RN_NewArch";"Complex";"100";"2";"10000";"1776";"5631"
"RN_NewArch";"Complex";"100";"3";"10000";"1893";"5283"
"RN_NewArch";"Complex";"100";"4";"10000";"1774";"5637"
"RN_NewArch";"Complex";"100";"5";"10000";"2430";"4115"
"RN_NewArch";"Complex";"100";"6";"10000";"2263";"4419"
"RN_NewArch";"Complex";"100";"7";"10000";"2332";"4288"
"RN_NewArch";"Complex";"100";"8";"10000";"2005";"4988"
"RN_NewArch";"Complex";"100";"9";"10000";"2040";"4902"
"RN_NewArch";"Complex";"100";"10";"10000";"1907";"5244"
"RN_NewArch";"Complex";"1000";"1";"10000";"7088";"1411"
"RN_NewArch";"Complex";"1000";"2";"10000";"7296";"1371"
"RN_NewArch";"Complex";"1000";"3";"10000";"6758";"1480"
"RN_NewArch";"Complex";"1000";"4";"10000";"7427";"1346"
"RN_NewArch";"Complex";"1000";"5";"10000";"6958";"1437"
"RN_NewArch";"Complex";"1000";"6";"10000";"7557";"1323"
"RN_NewArch";"Complex";"1000";"7";"10000";"8184";"1222"
"RN_NewArch";"Complex";"1000";"8";"10000";"8017";"1247"
"RN_NewArch";"Complex";"1000";"9";"10000";"7643";"1308"
"RN_NewArch";"Complex";"1000";"10";"10000";"7179";"1393"
"RN_NewArch";"Complex";"10000";"1";"10000";"84305";"119"
"RN_NewArch";"Complex";"10000";"2";"10000";"84363";"119"
"RN_NewArch";"Complex";"10000";"3";"10000";"84352";"119"
