Technology;Run;TotalTime_ms;WaitTime_ms
RN_Legacy;1;199;202
RN_Legacy;2;194;196
RN_Legacy;3;202;207
RN_Legacy;4;211;215
RN_Legacy;5;205;207
RN_Legacy;6;186;189
RN_Legacy;7;196;197
RN_Legacy;8;193;200
RN_Legacy;9;186;189
RN_Legacy;10;194;197
RN_NewArch;1;194;197
RN_NewArch;2;183;188
RN_NewArch;3;184;190
RN_NewArch;4;191;194
RN_NewArch;5;188;190
RN_NewArch;6;196;199
RN_NewArch;7;185;190
RN_NewArch;8;193;195
RN_NewArch;9;185;190
RN_NewArch;10;179;183
Native;1;167;169
Native;2;147;148
Native;3;154;155
Native;4;154;156
Native;5;152;155
Native;6;150;152
Native;7;145;148
Native;8;158;159
Native;9;140;141
Native;10;151;153
