App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;50;1;56,03;21,48;128,17;41,41;102,71;123,29;1999;1200;60037;18;23;163,7;1404;234;16,67;15;22;22;23;0;234;234
RN;Legacy;Real-time updates;50;2;70,72;21,29;128,34;82,98;121,48;124,3;1200;1200;59994;19;24;166,1;1359;338;24,87;18;22;22;23;0;338;336
RN;Legacy;Real-time updates;50;3;63,27;21,09;128,97;59,09;119,96;124,17;1200;1200;60012;17;22;166;1381;297;21,51;16;22;22;24;0;297;297
RN;Legacy;Real-time updates;50;4;63,95;22,07;129,35;62,02;119,92;124,44;1200;1200;60022;20;24;165,9;1401;311;22,2;16;22;22;23;0;311;311
RN;Legacy;Real-time updates;50;5;59,11;21,73;132,13;45,77;102,04;124,1;1200;1200;60079;19;23;166,5;1384;257;18,57;15;22;22;23;1;256;257
RN;Legacy;Real-time updates;100;1;32,22;24,48;36,78;34,93;35,83;36,45;599;600;60023;7;8;164,3;760;11;1,45;14;17;18;22;1;11;7
RN;Legacy;Real-time updates;100;2;31,79;24,59;36,72;35;35,77;36,29;599;600;60013;5;6;166,1;754;5;0,66;14;16;17;19;0;5;5
RN;Legacy;Real-time updates;100;3;31,16;24,54;37,39;32,41;35,73;36,32;599;600;60022;5;7;167,5;755;3;0,4;14;16;17;18;0;3;2
RN;Legacy;Real-time updates;100;4;31,05;24,64;36,92;30,1;35,84;36,31;599;600;60003;5;6;165,8;742;4;0,54;14;16;17;19;0;4;4
RN;Legacy;Real-time updates;100;5;31,15;24,69;36,97;31,01;35,6;36,23;599;600;60017;6;7;166;758;3;0,4;14;16;17;19;0;3;3
RN;Legacy;Real-time updates;200;1;36,25;30,39;39,79;36,36;37,26;37,7;299;300;60015;3;5;166,7;427;10;2,34;16;18;18;24;1;10;3
RN;Legacy;Real-time updates;200;2;36,27;33,54;39,9;36,34;37,34;37,85;299;300;60018;3;4;168,1;428;13;3,04;17;18;19;22;2;13;3
RN;Legacy;Real-time updates;200;3;35,5;32,22;40,81;35,62;36,37;37,15;299;300;60014;3;5;167,3;379;8;2,11;16;18;18;20;0;8;0
