App;Architecture;Scenario;Animated_Boxes;Run;Status;FPS modal;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Janky_Frames_Count (legacy);Janky_Frames_Percent (legacy);Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count;Frozen_Frames_Count
RN;Legacy;Animations;15;1;Finished;86;60045;10;10;150,2;5357;21;0,39;54;1,01;8;9;10;14;0;20;3;0
RN;Legacy;Animations;15;2;Finished;87;60054;11;13;152,9;5359;8;0,15;42;0,78;7;9;9;10;0;8;0;0
RN;Legacy;Animations;15;3;Finished;88;60049;10;12;151,7;5360;11;0,21;51;0,95;8;9;9;11;0;11;0;0
RN;Legacy;Animations;15;4;Finished;87;60031;11;13;153,4;5360;11;0,21;51;0,95;8;9;9;11;0;11;0;0
RN;Legacy;Animations;15;5;Finished;86;60038;10;13;152,6;5360;11;0,21;51;0,95;8;9;9;11;0;11;0;0
RN;NewArch;Animations;15;1;Finished;88;60053;10;12;146,1;5388;14;0,26;107;1,99;8;9;9;14;0;14;0;0
RN;NewArch;Animations;15;2;Finished;87;60024;9;11;161,4;5387;9;0,17;70;1,3;8;8;9;12;0;9;0;0
RN;NewArch;Animations;15;3;Finished;90;60019;9;12;159,7;5378;11;0,20;80;1,49;8;8;9;13;0;11;0;0
RN;NewArch;Animations;15;4;Finished;90;60037;8;10;165;5379;9;0,17;61;1,13;8;8;9;12;0;9;0;0
RN;NewArch;Animations;15;5;Finished;89;60031;9;12;165,8;5382;11;0,20;78;1,45;8;8;9;14;0;11;0;0
