Technology;Test;Run;Operations_Count;Total_Duration_ms;Operations_per_second
RN_Legacy;Complex;1;10000;11993;834
RN_Legacy;Complex;2;10000;11166;896
RN_Legacy;Complex;3;10000;9847;1016
RN_Legacy;Complex;4;10000;12302;813
RN_Legacy;Complex;5;10000;12057;829
RN_Legacy;Complex;6;10000;10991;910
RN_Legacy;Complex;7;10000;11081;902
RN_Legacy;Complex;8;10000;9361;1068
RN_Legacy;Complex;9;10000;12862;777
RN_Legacy;Complex;10;10000;9498;1053
;;;;;
RN_NewArch;Complex;1;10000;10642;940
RN_NewArch;Complex;2;10000;10717;933
RN_NewArch;Complex;3;10000;10602;943
RN_NewArch;Complex;4;10000;10981;911
RN_NewArch;Complex;5;10000;10905;917
RN_NewArch;Complex;6;10000;10755;930
RN_NewArch;Complex;7;10000;10880;919
RN_NewArch;Complex;8;10000;10008;999
RN_NewArch;Complex;9;10000;10085;992
RN_NewArch;Complex;10;10000;10340;967
