Technology;Test;Run;Operations_Count;Total_Duration_ms;Operations_per_second
RN_Legacy;Simple;1;100000;15670;6382
RN_Legacy;Simple;2;100000;15480;6460
RN_Legacy;Simple;3;100000;15433;6480
RN_Legacy;Simple;4;100000;15578;6419
RN_Legacy;Simple;5;100000;15269;6549
RN_Legacy;Simple;6;100000;15420;6485
RN_Legacy;Simple;7;100000;15431;6480
RN_Legacy;Simple;8;100000;15360;6509
RN_Legacy;Simple;9;100000;15344;6517
RN_Legacy;Simple;10;100000;15549;6431
;;;;;
RN_NewArch;Simple;1;100000;27259;3669
RN_NewArch;Simple;2;100000;19609;5100
RN_NewArch;Simple;3;100000;20831;4801
RN_NewArch;Simple;4;100000;21016;4758
RN_NewArch;Simple;5;100000;29287;4929
RN_NewArch;Simple;6;100000;19746;5064
RN_NewArch;Simple;7;100000;21135;4731
RN_NewArch;Simple;8;100000;21478;4656
RN_NewArch;Simple;9;100000;20615;4851
RN_NewArch;Simple;10;100000;20815;4804
