Technology;Run;TotalTime_ms;WaitTime_ms
RN_Legacy;1;273;274
RN_Legacy;2;257;275
RN_Legacy;3;244;247
RN_Legacy;4;243;258
RN_Legacy;5;256;265
RN_Legacy;6;269;272
RN_Legacy;7;269;272
RN_Legacy;8;273;281
RN_Legacy;9;267;270
RN_Legacy;10;248;251
RN_NewArch;1;187;191
RN_NewArch;2;194;199
RN_NewArch;3;200;204
RN_NewArch;4;214;217
RN_NewArch;5;199;205
RN_NewArch;6;198;203
RN_NewArch;7;192;197
RN_NewArch;8;207;216
RN_NewArch;9;189;193
RN_NewArch;10;199;201
Native;1;190;193
Native;2;185;189
Native;3;200;201
Native;4;196;198
Native;5;186;190
Native;6;173;184
Native;7;170;172
Native;8;198;204
Native;9;181;183
Native;10;188;192
